entry_num,timestamp,source_url,selected,selected_role,selected_rank,selected_region,selected_platform,selected_gamemode,hero_id,hero_name,pickrate,winrate,role,pull_datetime_utc,pull_date
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,brigitte,Brigitte,6.3,49.7,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,cassidy,Cassidy,26.5,45.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,dva,D.Va,13.2,51.7,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,doomfist,Doomfist,9.7,50.0,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,echo,Echo,5.6,50.6,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,freja,Freja,5.2,44.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,genji,Genji,16.6,52.2,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,hanzo,Hanzo,12.4,50.6,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,hazard,Hazard,5.0,51.9,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,illari,Illari,6.1,54.7,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
